spotifyId;name;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;speechiness;tempo;time_signature;valence;pname
0aoeXzMxq1945xRbWHirrO;"Kernkraft 400";0.0069;0.481;0.95;0.843;4;0.408;-6.706;0.0823;140.057;4;0.0394;Techno
0bfeRvbX6Y7BU13QqeA7wf;"Metamorphosis - Marie Vaunt Remix";0.000901;0.655;0.997;0.869;10;0.108;-5.156;0.103;136.013;4;0.0648;Techno
0c5nIZsdOZOaaFE0OQuoyU;"Hell on Earth";0.0479;0.532;0.897;0.908;8;0.0984;-8.566;0.0549;135.96;3;0.0634;Techno
0dDGl66J8riMFyp2yUn88W;"Say It Again";0.199;0.635;0.983;0.852;1;0.419;-6.252;0.0516;132.004;4;0.035;Techno
0DRoVcOb9RyR2efUeZprv6;"Take Your Medicine";0.0416;0.696;0.946;0.295;0;0.431;-6.832;0.0837;133.999;4;0.106;Techno
0gDfZQksdHrXAQ3DE9wO0X;BONZAI;0.0516;0.707;0.926;0.918;6;0.0958;-6.582;0.0565;134.973;4;0.192;Techno
0M07XMvl0ylY9VVt69LsJu;"Under Pressure - Original Mix";0.000315;0.652;0.859;0.908;11;0.0752;-7.757;0.0519;129.984;3;0.0348;Techno
0qP89hbMRlounSq9QDSK6v;"The Outsiders - T78 Remix";0.00182;0.851;0.904;0.924;2;0.112;-9.654;0.0582;126.992;4;0.26;Techno
0V6GWgubCBR8955ZWtJ4WR;"Choir Of Spirits";0.000809;0.62;0.701;0.865;1;0.119;-9.663;0.0445;134.999;4;0.187;Techno
0VmJzhgE3LmfzJa1FdYHkl;Elysium;0.00257;0.67;0.966;0.741;1;0.119;-9.557;0.0526;127.985;4;0.144;Techno
0VnV4QbuGplPbXsFBJpX8y;"Saw of Olympus";0.182;0.732;0.933;0.877;6;0.152;-7.017;0.116;129.993;4;0.303;Techno
0VTnsXnW2kuMFlwdKSTSBy;Gravity;0.000126;0.753;0.914;0.882;7;0.0906;-4.186;0.0524;132.009;4;0.351;Techno
0ZrXNuryJ6FYjww6jU6RUm;Kollera;0.0111;0.699;0.593;0.928;10;0.287;-8.902;0.0546;128.011;3;0.322;Techno
17NHXI2CJp7KgdcwcDnRx4;"Boyz In Paris (with VINAI)";0.0326;0.554;0.968;0.000042;1;0.304;-4.178;0.0695;74.465;4;0.415;Techno
1afHl4iHfqeQ5U0vnWYRCh;"The House Of House - Original Remastered Mix";0.0925;0.63;0.841;0.096;8;0.0933;-8.902;0.0346;149.862;4;0.123;Techno
1c3OaOeSogCpXTa8BhnBEq;Rebirth;0.00667;0.778;0.893;0.792;11;0.096;-5.257;0.0635;130.996;4;0.34;Techno
1dzvje2q7KX8k1U9eOT6Pv;"We Control";0.00499;0.707;0.815;0.828;7;0.0874;-6.2;0.147;133.024;4;0.148;Techno
1eMUGMEWrvTXYWrPobq2dH;"Heute Nacht";0.0196;0.609;0.912;0.478;11;0.133;-6.593;0.0391;135.027;4;0.0391;Techno
1eV81a6H4xDdpi8r2C4tQT;Gravity;0.00149;0.783;0.616;0.769;7;0.117;-11.131;0.0691;125.023;4;0.0734;Techno
1HIalwjo1TQVaB63BXbkQu;"Toro (I Hate Models Speed Up Revival Edit of Andre VII RMX)";0.000531;0.722;0.849;0.373;6;0.0741;-6.025;0.088;150.006;4;0.252;Techno
1khq5gFJaY6ztqQ92tbD3l;Akuma;0.013;0.764;0.958;0.84;11;0.129;-4.063;0.102;145.012;4;0.343;Techno
1kMObCQiYe5opqybH7ZNPD;"Rave - Remix";0.000174;0.732;0.627;0.895;11;0.0981;-13.712;0.0524;131.007;4;0.266;Techno
1mWbB1bGjvdZR3vFtaT2gL;"Gam Gam - 2023";0.0249;0.592;0.96;0.858;1;0.445;-6.969;0.12;135.002;4;0.0385;Techno
1ObSvlzYuc5PDhklq2iLoJ;"Watchers of the Sky - Original Mix";0.000685;0.691;0.985;0.695;9;0.217;-4.384;0.0683;132.997;4;0.0348;Techno
1RM4nxRkTwXtOKilbWtsKk;"Queen of the Banshees - Nico Moreno Remix";0.000255;0.646;0.989;0.868;1;0.62;-7.244;0.054;144.978;4;0.342;Techno
1TjZTPkdqO3OCo7DX10a0l;Venezia;0.000581;0.58;0.923;0.55;2;0.346;-6.599;0.0427;135.989;4;0.119;Techno
1tkS8yt5NwTZkqFvZMxM0F;"Rave Harder Techno Bass";0.0158;0.784;0.888;0.892;4;0.169;-6.617;0.165;135.995;4;0.13;Techno
